timestamp,node_id,log_text
193.559725,29,"Node #29 [ 193.55972] 29.[1,254] Sending NETWORK_REPLY to [3,1] through 21.[3,254] (selected by Neighbor Network)"
193.559782,21,"Node #21 [ 193.55978] 21.[3,254] Sending NETWORK_REPLY to [3,1] through 22.[3,1] (selected by Neighbors Table)"
193.559858,22,"Node #22 [ 193.55986] 22.[9,254] Sending NETWORK_UPDATE to [1,254] through 21.[3,254] (selected by Parent)"
193.559858,22,Node #22 [ 193.55986] Sent Join Reply to: 15
193.559910,14,"Node #14 [ 193.55991] ADDRESS RENEW: [3,1] -> [9,254]"
193.559934,21,"Node #21 [ 193.55993] ADDRESS RENEW: [3,1] -> [9,254]"
193.559934,21,Node #21 [ 193.55993] Removing 22 from my assigned node ids.
193.559934,21,"Node #21 [ 193.55993] 21.[3,254] Sending NETWORK_UPDATE to [1,254] through 29.[1,254] (selected by Neighbors Table)"
193.559952,30,"Node #30 [ 193.55995] ADDRESS RENEW: [3,1] -> [9,254]"
193.559952,13,"Node #13 [ 193.55995] ADDRESS RENEW: [3,1] -> [9,254]"
193.559956,15,"Node #15 [ 193.55996] ADDRESS RENEW: [3,1] -> [9,254]"
193.559956,15,"Node #15 [ 193.55996] Heard Join Reply from: [9,254]"
193.559956,15,"Node #15 [ 193.55996] 15.[9,1] Sending JOIN_ACK to [9,254] through 22.[9,254] (selected by Neighbors Table)"
196.703088,27,"Node #27 [ 196.70309] Sent Join Request to [1,1]"
196.703179,20,Node #20 [ 196.70318] Heard Join Request from 27
196.703179,20,"Node #20 [ 196.70318] 20.[1,1] Sending NETWORK_REQUEST to [1,254] through 29.[1,254] (selected by Neighbors Table)"
196.703255,29,"Node #29 [ 196.70325] Sent network reply to [1,1]"
196.703255,29,"Node #29 [ 196.70325] 29.[1,254] Sending NETWORK_REPLY to [1,1] through 20.[1,1] (selected by Neighbors Table)"
196.703330,20,"Node #20 [ 196.70333] 20.[10,254] Sending NETWORK_UPDATE to [1,254] through 29.[1,254] (selected by Neighbors Table)"
196.703330,20,Node #20 [ 196.70333] Sent Join Reply to: 27
196.703375,21,"Node #21 [ 196.70337] ADDRESS RENEW: [1,1] -> [10,254]"
196.703376,28,"Node #28 [ 196.70338] ADDRESS RENEW: [1,1] -> [10,254]"
196.703405,29,"Node #29 [ 196.70341] ADDRESS RENEW: [1,1] -> [10,254]"
196.703405,29,Node #29 [ 196.70341] Removing 20 from my assigned node ids.
196.703412,13,"Node #13 [ 196.70341] ADDRESS RENEW: [1,1] -> [10,254]"
196.703421,27,"Node #27 [ 196.70342] ADDRESS RENEW: [1,1] -> [10,254]"
196.703421,27,"Node #27 [ 196.70342] Heard Join Reply from: [10,254]"
196.703421,27,"Node #27 [ 196.70342] 27.[10,1] Sending JOIN_ACK to [10,254] through 20.[10,254] (selected by Neighbors Table)"
196.703425,12,"Node #12 [ 196.70342] ADDRESS RENEW: [1,1] -> [10,254]"
200.868079,5,"Node #5  [ 200.86808] Sent Join Request to [5,254]"
200.868154,13,Node #13 [ 200.86815] Sent Join Reply to: 5
200.868229,5,"Node #5  [ 200.86823] Heard Join Reply from: [5,254]"
200.868229,5,"Node #5  [ 200.86823] 5.[5,1] Sending JOIN_ACK to [5,254] through 13.[5,254] (selected by Neighbors Table)"
202.856481,45,"Node #45 [ 202.85648] Sent Join Request to [2,1]"
202.856516,37,Node #37 [ 202.85652] Heard Join Request from 45
202.856516,37,"Node #37 [ 202.85652] 37.[2,1] Sending NETWORK_REQUEST to [1,254] through 30.[2,254] (selected by Parent)"
202.856612,30,"Node #30 [ 202.85661] 30.[2,254] Sending NETWORK_REQUEST to [1,254] through 29.[1,254] (selected by Neighbors Table)"
202.856681,29,"Node #29 [ 202.85668] Sent network reply to [2,1]"
202.856681,29,"Node #29 [ 202.85668] 29.[1,254] Sending NETWORK_REPLY to [2,1] through 30.[2,254] (selected by Neighbor Network)"
202.856750,30,"Node #30 [ 202.85675] 30.[2,254] Sending NETWORK_REPLY to [2,1] through 37.[2,1] (selected by Neighbors Table)"
202.856846,37,"Node #37 [ 202.85685] 37.[11,254] Sending NETWORK_UPDATE to [1,254] through 30.[2,254] (selected by Parent)"
202.856846,37,Node #37 [ 202.85685] Sent Join Reply to: 45
202.856881,45,"Node #45 [ 202.85688] ADDRESS RENEW: [2,1] -> [11,254]"
202.856881,45,"Node #45 [ 202.85688] Heard Join Reply from: [11,254]"
202.856881,45,"Node #45 [ 202.85688] 45.[11,1] Sending JOIN_ACK to [11,254] through 37.[11,254] (selected by Neighbors Table)"
202.856938,46,"Node #46 [ 202.85694] ADDRESS RENEW: [2,1] -> [11,254]"
202.856942,38,"Node #38 [ 202.85694] ADDRESS RENEW: [2,1] -> [11,254]"
202.856942,30,"Node #30 [ 202.85694] ADDRESS RENEW: [2,1] -> [11,254]"
202.856942,30,Node #30 [ 202.85694] Removing 37 from my assigned node ids.
202.856942,30,"Node #30 [ 202.85694] 30.[2,254] Sending NETWORK_UPDATE to [1,254] through 29.[1,254] (selected by Neighbors Table)"
203.538702,28,"Node #28 [ 203.53870] Sent Join Request to [1,254]"
203.538759,29,Node #29 [ 203.53876] Sent Join Reply to: 28
203.538816,28,"Node #28 [ 203.53882] Heard Join Reply from: [1,254]"
203.538816,28,"Node #28 [ 203.53882] 28.[1,1] Sending JOIN_ACK to [1,254] through 29.[1,254] (selected by Neighbors Table)"
204.603112,14,"Node #14 [ 204.60311] Sent Join Request to [9,254]"
204.603165,22,Node #22 [ 204.60316] Sent Join Reply to: 14
204.603217,14,"Node #14 [ 204.60322] Heard Join Reply from: [9,254]"
204.603217,14,"Node #14 [ 204.60322] 14.[9,2] Sending JOIN_ACK to [9,254] through 22.[9,254] (selected by Neighbors Table)"
204.975629,3,"Node #3  [ 204.97563] Sent Join Request to [8,1]"
204.975652,19,"Node #19 [ 204.97565] Sent Join Request to [10,1]"
204.975708,27,Node #27 [ 204.97571] Heard Join Request from 19
204.975708,27,"Node #27 [ 204.97571] 27.[10,1] Sending NETWORK_REQUEST to [1,254] through 28.[1,1] (selected by Neighbor Network)"
204.975708,4,Node #4  [ 204.97571] Heard Join Request from 3
204.975708,4,"Node #4  [ 204.97571] 4.[8,1] Sending NETWORK_REQUEST to [1,254] through 12.[8,254] (selected by Parent)"
204.975771,12,"Node #12 [ 204.97577] 12.[8,254] Sending NETWORK_REQUEST to [1,254] through 20.[10,254] (selected by Networking Table)"
204.975778,28,"Node #28 [ 204.97578] 28.[1,1] Sending NETWORK_REQUEST to [1,254] through 29.[1,254] (selected by Neighbors Table)"
204.975835,29,"Node #29 [ 204.97584] Sent network reply to [10,1]"
204.975835,29,"Node #29 [ 204.97584] 29.[1,254] Sending NETWORK_REPLY to [10,1] through 20.[10,254] (selected by Neighbor Network)"
204.975865,20,"Node #20 [ 204.97587] 20.[10,254] Sending NETWORK_REQUEST to [1,254] through 29.[1,254] (selected by Neighbors Table)"
204.975910,20,"Node #20 [ 204.97591] 20.[10,254] Sending NETWORK_REPLY to [10,1] through 27.[10,1] (selected by Neighbors Table)"
204.975941,29,"Node #29 [ 204.97594] Sent network reply to [8,1]"
204.975941,29,"Node #29 [ 204.97594] 29.[1,254] Sending NETWORK_REPLY to [8,1] through 20.[10,254] (selected by Networking Table)"
204.976002,27,"Node #27 [ 204.97600] 27.[12,254] Sending NETWORK_UPDATE to [1,254] through 28.[1,1] (selected by Neighbor Network)"
204.976002,27,Node #27 [ 204.97600] Sent Join Reply to: 19
204.976016,20,"Node #20 [ 204.97602] 20.[10,254] Sending NETWORK_REPLY to [8,1] through 12.[8,254] (selected by Neighbor Network)"
204.976057,19,"Node #19 [ 204.97606] ADDRESS RENEW: [10,1] -> [12,254]"
204.976057,19,"Node #19 [ 204.97606] Heard Join Reply from: [12,254]"
204.976057,19,"Node #19 [ 204.97606] 19.[12,1] Sending JOIN_ACK to [12,254] through 27.[12,254] (selected by Neighbors Table)"
204.976072,28,"Node #28 [ 204.97607] ADDRESS RENEW: [10,1] -> [12,254]"
204.976072,28,"Node #28 [ 204.97607] 28.[1,1] Sending NETWORK_UPDATE to [1,254] through 29.[1,254] (selected by Neighbors Table)"
204.976093,20,"Node #20 [ 204.97609] ADDRESS RENEW: [10,1] -> [12,254]"
204.976093,20,Node #20 [ 204.97609] Removing 27 from my assigned node ids.
204.976101,35,"Node #35 [ 204.97610] ADDRESS RENEW: [10,1] -> [12,254]"
204.976111,12,"Node #12 [ 204.97611] 12.[8,254] Sending NETWORK_REPLY to [8,1] through 4.[8,1] (selected by Neighbors Table)"
204.976173,4,"Node #4  [ 204.97617] 4.[13,254] Sending NETWORK_UPDATE to [1,254] through 12.[8,254] (selected by Parent)"
204.976173,4,Node #4  [ 204.97617] Sent Join Reply to: 3
204.976232,5,"Node #5  [ 204.97623] ADDRESS RENEW: [8,1] -> [13,254]"
204.976236,12,"Node #12 [ 204.97624] ADDRESS RENEW: [8,1] -> [13,254]"
204.976236,12,Node #12 [ 204.97624] Removing 4 from my assigned node ids.
204.976236,12,"Node #12 [ 204.97624] 12.[8,254] Sending NETWORK_UPDATE to [1,254] through 20.[10,254] (selected by Networking Table)"
204.976253,3,"Node #3  [ 204.97625] ADDRESS RENEW: [8,1] -> [13,254]"
204.976253,3,"Node #3  [ 204.97625] Heard Join Reply from: [13,254]"
204.976253,3,"Node #3  [ 204.97625] 3.[13,1] Sending JOIN_ACK to [13,254] through 4.[13,254] (selected by Neighbors Table)"
204.976273,11,"Node #11 [ 204.97627] ADDRESS RENEW: [8,1] -> [13,254]"
